Cyt3	Cyt1	Cyt2	FP3	FP2	FP1	Nuc3	Nuc2	Nuc1	1wChAC3	1wChAC2	1wChAC1	2wChAC2	2wChAC1	2wChAC3	3wChAC2	3wChAC3	3wChAC1	Cluster	Protein.Group	Proteins
0.852303	0.948159	0.785373	0.0754169	0.0955121	0.159455		-0.97574	-1.94048										V - Plasma membrane	Q4KML4	ABRACL
0.374172	-1.54696	-0.436183	0.791783	1.28296	0.929173	1.53271	1.40308	1.36057	-0.162326	-0.404441	-0.190967	-0.459003	-0.388563	-0.936311	-0.701604	-1.31849	-1.12959	IV - Nuclear periphery	Q8BPZ8	ABRAXAS1
1.95127	1.89009	1.90362	0.482295	0.53495	0.631305	-0.698718	-0.570535	-0.526225	-0.480799	-0.636273	-0.497612	-0.442273	-0.49709	-0.343643	-0.835725	-1.16376	-0.700869	VI - Golgi+vesicles	Q3TCJ1	ABRAXAS2
-1.76148	-1.72049	-1.95558	-0.723767	-0.540066	-0.678865	0.0375063	0.207704	0.0015696	0.885074	0.86787	0.908741	0.878168	0.903483	0.824688	0.657458	0.597616	0.610371	II - Chromatin I	Q9QYL7	ABT1
1.53439	1.564	1.54625	1.12058	1.08158	1.16285	-0.249494	-0.253783	-0.365879	-0.807624	-0.789313	-0.828735	-0.678426	-0.652937	-0.731345	-0.896904	-1.02262	-0.732595	VIII - Cytoplasm	Q921H8	ACAA1A
1.60345	1.55624	1.61627	0.958755	1.05654	1.02672	-0.120786	-0.112735	-0.146267	-0.718183	-0.823862	-0.892475	-0.81325	-0.878531	-0.578437	-0.979369	-0.876021	-0.878063	VIII - Cytoplasm	Q8BWT1	ACAA2
1.65128	1.58409	1.61148	1.06506	1.07232	1.07708	-1.0414	-0.59835	-0.779831	-0.580307	-0.399271	-0.695527	-0.473854	-0.633877	-0.597516	-0.790303	-0.702839	-0.768243	VIII - Cytoplasm	"Q5SWU9;Q5SWU9-2"	ACACA
-1.58712	-1.56455	-1.50185	-0.704543	-0.607857	-1.45839	0.0299892	-0.103922	-0.193559	0.95479	0.938912	0.933923	0.955519	0.900309	1.00334	0.664878	0.674842	0.665293	II - Chromatin I	Q80XL6	ACAD11
1.4058	1.2712	1.51727	1.18344	1.04559	0.979133	0.103602	0.23828	0.357296	-0.802629	-0.828802	-1.11911	-0.960886	-0.871425	-0.669139	-0.862914	-1.10717	-0.879532	IX - Mitochondria	Q9D7B6	ACAD8
1.32203	1.33209	1.36382	1.13998	1.11015	1.10207	0.337053	0.174921	0.260546	-1.02202	-0.768345	-0.818272	-1.27872	-0.737177	-0.821657	-0.709607	-0.884736	-1.10213	VII - Ribosomes	Q8JZN5	ACAD9
1.47553	1.48964	1.43398	1.29287	1.2227	1.22552	-0.512843	-0.432298	-0.503292	-0.548173	-0.601178	-1.09983	-0.747899	-0.737916	-0.645174	-0.74562	-0.815244	-0.75077	VIII - Cytoplasm	P51174	ACADL
1.59833	1.60685	1.59738	1.02955	1.04265	0.883879	-0.0710561	-0.0348016	-0.14075	-0.863842	-0.698946	-0.753065	-0.804118	-0.784747	-0.763722	-0.924583	-1.0422	-0.876795	VIII - Cytoplasm	P45952	ACADM
1.38915	1.4489	1.451	1.2177	1.2282	1.20223	-0.1616	-0.102003	-0.143999	-0.843361	-0.790907	-0.857813	-0.731138	-0.819728	-1.06313	-0.769503	-0.792723	-0.861258	VIII - Cytoplasm	Q07417	ACADS
1.27122	1.28654	1.28413	1.12184	0.976242	1.03717	0.251344	0.433284	0.347413	-0.987232	-0.904117	-1.84319	-0.683119	-0.573733	-0.74002	-0.924917	-0.434089	-0.918768	VII - Ribosomes	Q9DBL1	ACADSB
0.727605	1.01345	0.87474	0.420041	0.435697	0.441656	-1.21263	-1.35186	-1.3487										V - Plasma membrane	P50544	ACADVL
-1.29058	-1.3862	-1.47974	1.21519	1.61878	1.32111	0.499209	1.11801	1.0073	-0.731903	-0.461273	-1.05645	-0.196884	0.227666	0.585279	-0.037809	-0.236079	-0.71563	I - Nucleoplasm	Q8K2H4	ACAP1
1.02684	0.952724	1.01825	1.21248	1.1314	1.18512	0.589529	0.570812	0.56426	-0.705502	-0.769796	-0.792088	-0.562113	-0.486656	-0.667979	-1.23103	-1.59908	-1.43717	VII - Ribosomes	Q6ZQK5	ACAP2
1.54516	1.63235	1.5875	0.955658	0.933147	0.987902	0.0994892	-0.0383457	0.00877439	-0.920472	-0.812925	-0.738955	-0.766186	-0.814665	-0.873575	-0.93361	-0.965154	-0.886089	IX - Mitochondria	Q8QZT1	ACAT1
1.25639	1.30011	1.27213	1.36932	1.40847	1.44594	-0.233263	-0.256533	-0.258314	-0.853223	-0.717446	-0.735676	-0.810522	-0.853429	-0.705467	-0.813166	-0.923052	-0.892281	VIII - Cytoplasm	Q8CAY6	ACAT2
1.74763	1.86229	1.84733	0.684195	0.614359	0.606364	-0.0776675	-0.135483	-0.172653	-0.589614	-1.04417	-0.587249	-0.482321	-0.919453	-0.636209	-0.696238	-0.961404	-1.05971	IX - Mitochondria	Q8BMP6	ACBD3
-1.18078	-1.89656		-1.1642	-1.47536	0.0710205	1.18191	1.15177	1.2866	0.778073	0.868881	0.757192	0.510084	-0.0998692	0.32416	-0.24777	-0.84989	-0.0152566	I - Nucleoplasm	"A2AHR2;E9Q289"	ACBD4
		-0.607045				-1.7572	-1.70317	-1.48533	0.590655	0.619512	0.653244	0.63964	0.623183	0.603367	0.585008	0.678602	0.559534	III - Chromatin II	Q52KR6	ACIN1
-1.92243	-1.97806	-1.91207	-0.433054	-0.34998	-0.367645	-0.00579002	0.0169593	0.0593673	0.739749	0.721538	0.729987	0.773218	0.769984	0.763726	0.811216	0.803857	0.779424	II - Chromatin I	Q9JIX8-4	ACIN1 (isof.)
1.59812	1.54694	1.53921	1.08479	1.12501	1.05991	-0.275529	-0.224426	-0.181406	-0.848033	-0.874169	-0.875433	-0.666681	-0.68926	-0.669457	-0.854008	-0.89639	-0.899186	VIII - Cytoplasm	Q91V92	ACLY
1.54089	1.61219	1.54161	1.03677	1.06568	1.05497	-0.208828	-0.119248	-0.120257	-0.821582	-0.893834	-1.05604	-0.540964	-0.715269	-0.816934	-0.770489	-0.897181	-0.891485	VIII - Cytoplasm	"Q3TS02;Q3V117"	ACLY (isof.)
1.6189	1.64498	1.67273	0.963307	0.952214	0.904883	-0.109678	-0.120628	-0.13875	-0.611898	-0.814076	-0.747728	-0.862318	-0.725558	-0.869205	-1.01479	-0.814861	-0.927523	VIII - Cytoplasm	P28271	ACO1
1.53712	1.56487	1.56776	1.16394	1.18152	1.16248	-0.595831	-0.539091	-0.581004	-0.708878	-0.751253	-0.693394	-0.742467	-0.690874	-0.692902	-0.753421	-0.693798	-0.734779	VIII - Cytoplasm	Q99KI0	ACO2
1.38933	1.38005	1.43881	1.15628	1.21664	1.20896	-0.0475785	-0.0831216	-0.0135404	-0.824077	-0.933942	-0.805951	-0.668273	-0.733656	-1.3389	-0.788255	-0.747543	-0.805224	VIII - Cytoplasm	Q9CQR4	ACOT13
1.43456	1.5123	1.51133	1.20034	1.24366	1.20599	-0.334964	-0.365379	-0.450413	-0.684087	-0.721256	-0.770328	-0.955943	-0.834263	-0.930047	-0.757473	-0.652205	-0.651816	VIII - Cytoplasm	Q91V12	ACOT7
1.61416	1.65171	1.63429	0.956982	1.04732	0.773101	-0.0428518	-0.0382465	-0.125677	-0.633765	-0.762099	-0.787869	-0.737349	-1.0004	-0.71421	-0.943844	-1.06589	-0.825369	IX - Mitochondria	P58137	ACOT8
1.30615	1.35136	1.34869	1.05733	0.9697	1.08932	0.454868	0.4037	0.383649	-0.870606	-1.19231	-0.820362	-1.01254	-0.960733	-0.858213	-0.837721	-0.853188	-0.959097	VII - Ribosomes	Q9R0X4	ACOT9
1.43485	1.48011	1.48218	1.17694	1.20684	1.17611	-0.287818	-0.213488	-0.0870514	-0.781774	-0.800629	-0.986627	-0.695433	-0.910486	-0.909861	-1.0027	-0.623304	-0.657858	VIII - Cytoplasm	Q9D358	ACP1
0.821031	0.80013	0.92235	0.451988	0.504496	0.437022	-1.20138	-1.36744	-1.3682										V - Plasma membrane	Q9D358-2	ACP1 (isof.)
1.50543	1.54759	1.54827	1.13109	1.09137	1.11673	-0.190379	-0.206943	-0.19895	-0.826687	-0.891517	-0.786463	-0.660975	-0.75653	-0.749661	-0.722241	-1.05935	-0.890789	VIII - Cytoplasm	Q8BP40	ACP6
1.1609	0.786728	1.0998	1.2662	1.27815	1.2047	0.542525	0.506297	0.568841	-1.03265	-1.08353	-0.871722	-0.975012	-1.06154	-0.807646	-0.647485	-1.31421	-0.620348	VII - Ribosomes	"Q3V140;Q3V140-2"	ACRBP
1.04449	1.15734	1.14535	0.29566	0.401333	0.340871	-1.10632	-0.963772	-1.33189		-0.983054								V - Plasma membrane	Q8VCW8	ACSF2
1.68104	1.47789	1.71347	0.319279	0.760448	0.259096	-0.670792	-1.4976	-0.0030991	0.168549	-0.411947	-0.861774	-0.435442		0.51899	-0.710731	-1.3069	-1.00048	VI - Golgi+vesicles	Q3URE1	ACSF3
1.50503	1.52531	1.61364	1.15263	1.17387	1.16272	-0.522511	-0.357099	-0.554743	-0.661136	-0.646914	-0.797626	-0.844145	-0.826584	-0.706309	-0.655366	-0.73725	-0.823523	VIII - Cytoplasm	P41216	ACSL1
1.77784	1.72255	1.74464	1.12198	0.857019	0.698698	-0.517296	-0.634182	-0.526568	-0.652855	-0.574111	-0.5692	-0.771519	-0.690054	-0.666279	-0.721386	-0.747645	-0.851628	VIII - Cytoplasm	Q9CZW4	ACSL3
1.50935	1.67783	1.52111	1.26291	1.11779	1.00177	-0.419732	-0.49411	-0.547415	-0.623349	-0.732586	-0.515192	-0.658522	-0.812511	-0.849285	-0.768667	-0.966843	-0.702561	VIII - Cytoplasm	"Q9QUJ7;Q9QUJ7-2"	ACSL4
1.37456	1.38165	1.37733	1.17085	1.14232	1.05993	0.0557246	-1.20905	-0.952007	-0.77912	-0.526592	-0.833298		-1.15412	-0.771752	-0.362126	-0.382131	-0.592165	VIII - Cytoplasm	Q9QXG4	ACSS2
1.65628	1.71449	1.70583	0.748681	0.589244	0.779582	0.18518	0.205514	0.199692	-0.875388	-0.870064	-0.879202	-0.763023	-0.773906	-0.79695	-0.965771	-0.923699	-0.93649	IX - Mitochondria	P60710	ACTB
1.06003	1.17874	1.26354	-0.395551	-0.447693		-0.763287	-1.22525	-0.670537										VI - Golgi+vesicles	E9Q5F4	ACTB (isof.)
1.32091	1.47006	1.44022	0.659469	0.533131	0.248886	-0.621649	-0.402617	-0.405605	-1.09794	-1.16155	-1.03819	-0.94512						IX - Mitochondria	Q8BFZ3	ACTBL2
1.1171	1.21109	1.2107	1.09762	1.02808	1.01699	0.597938	0.665671	0.674984	-0.995076	-0.931107	-0.960747	-0.885384	-0.981307	-0.994488	-0.949003	-0.989541	-0.933521	VII - Ribosomes	P68033	ACTC1
1.19757	1.23207	1.25137	1.22885	1.24782	1.21724	0.31364	0.275353	0.322894	-1.02637	-0.968546	-0.916196	-0.883332	-0.857994	-0.863294	-0.941006	-0.884009	-0.94607	VII - Ribosomes	Q7TPR4	ACTN1
-0.704813	-0.667603	-0.599398	1.25347	1.09908	1.60874	-0.587047	-0.740082	-0.66235										V - Plasma membrane	O88990	ACTN3
1.21268	1.22651	1.26014	1.18752	1.21591	1.19114	0.347998	0.326324	0.344146	-1.0483	-1.04706	-1.02071	-0.783306	-0.784252	-0.767933	-0.955736	-0.944605	-0.960466	VII - Ribosomes	P57780	ACTN4
1.18558	1.25236	1.38122	0.761777	1.25583	1.16897	0.482421	0.458018	0.474266	-0.997319	-1.07503	-0.995231	-0.861706	-0.870112	-0.829692	-0.911213	-0.95173	-0.928409	VII - Ribosomes	E9Q2W9	ACTN4 (isof.)
1.20276	1.33352	1.38054	1.17895	1.1412	1.19387	0.27438	0.189102	0.129418	-1.12718	-0.79623	-0.876231	-0.543174	-0.695614	-0.643946	-0.968137	-1.23426	-1.13897	VII - Ribosomes	Q9QZB7	ACTR10
1.90487	1.8825	1.90903	0.706411	0.5816	0.5559	-0.537497	-0.274667	-0.365124	-0.803743	-0.758866	-0.772166	-0.642196	-0.701997	-0.66882	-0.667918	-0.587397	-0.759925	IX - Mitochondria	P61164	ACTR1A
1.5156	1.51736	1.75923	1.06675	1.02689	1.14163	-0.532584	-0.367692	-0.284106	-0.659189	-0.748532	-0.972362	-0.733541	-0.658516	-0.838249	-0.894673	-0.664716	-0.673308	VIII - Cytoplasm	Q8R5C5	ACTR1B
1.60632	1.4703	1.5557	0.701998	0.665429	0.619667	0.560151	0.473489	0.602036	-1.0048	-0.882352	-0.94041	-0.987124	-0.758707	-0.858576	-0.929025	-0.970982	-0.923116	IX - Mitochondria	P61161	ACTR2
1.88675	1.95795	1.81688	0.0899504	0.227041	0.407912	0.263479	0.275935	0.237449	-0.926487	-1.00335	-0.728628	-0.746572	-0.537611	-0.784866	-0.728706	-0.729023	-0.978107	IX - Mitochondria	Q99JY9	ACTR3
-1.37953	-1.68963	-1.55121	0.917207	0.944943	0.75511	1.40419	1.59038	1.51152	-0.296502	-0.252652	-0.244316	-0.314091	-0.205229	-0.20876	-0.188569	-0.397284	-0.395588	I - Nucleoplasm	Q80US4	ACTR5
				1.8563	1.75532	0.508138	0.980271	0.918273	-0.860852	-1.18013	-0.661319	-0.564731	-0.529943	-0.545173	-0.528019	-0.525804	-0.622322	VII - Ribosomes	A0A0R4J009	ACTR6
-1.98836	-2.10454	-2.12949	0.158781	0.0335649	-0.378194	0.811424	0.937047	0.806676	0.471586	0.547564	0.55488	0.327987	0.37437	0.435208	0.258866	0.47526	0.407364	I - Nucleoplasm	Q8R2S9	ACTR8
0.826452	0.885221	0.874488	0.425564	0.370444	0.331265		-1.34408	-1.78762				-0.58173						V - Plasma membrane	Q99JW2	ACY1
-0.034676	-0.207833	0.0443574	1.16452	1.14295	1.17092	-0.918999	-1.55998	-0.801267										V - Plasma membrane	P56376	ACYP1
0.789325	0.7804	0.890066	0.684425	0.74839	0.664504						-1.05449	-1.03928		-1.60555			-0.857797	VII - Ribosomes	P03958	ADA
0.987158	0.621001	0.826898	1.63291	1.3501	1.57899	0.251507	0.59579	-0.116046	-0.536723	-1.28096	-1.00499	-0.957709	-1.12857	-0.526478	-0.704166	-1.22863	-0.360074	VII - Ribosomes	O35598	ADAM10
0.787734	0.837223	0.935652	0.530065	0.308829	0.300003		-1.22398	-0.615468		-1.86006								V - Plasma membrane	Q9Z0F8	ADAM17
-1.78471	-2.12136	-1.97493	-0.329903	-0.343693	-0.411851	0.0600907	0.043879	0.168234	0.716351	0.733773	0.732988	0.79043	0.718979	0.773365	0.746976	0.74079	0.74059	II - Chromatin I	Q99MU3	ADAR
1.04774	1.16611	1.14195	1.11682	1.09395	1.12117	-0.754967	-0.908374	-0.825017		-0.665077	-1.57144		-0.138205	-0.262714	-0.433226		-1.12873	VIII - Cytoplasm	Q9JHI2	ADAT1
0.208789	0.436602	0.202956	0.93159	1.0165	1.00327	-1.31543	-1.22258	-1.2617										V - Plasma membrane	Q6P6J0	ADAT2
1.37998	1.56745	1.58075	0.248168	0.368929	0.198656	-0.926053	-0.964543	-0.979493	-0.580965						-1.11438	-0.0197389	-0.758761	VI - Golgi+vesicles	Q9D0L4	ADCK1
0.675315	0.512699	0.684853	0.367088	0.734594	0.672156	1.58164	1.46696	1.49378	-0.870853	-1.05396	-0.732409	-0.729789	-0.781804	-0.615014	-1.06553	-1.18856	-1.15118	IV - Nuclear periphery	"Q9QYC0;Q9QYC0-2"	ADD1
0.386245	0.723279	0.372738	0.120169	-0.496828	0.00960851	2.06096	1.79845	1.71309	-0.422125	-0.474341	-0.591479	-0.73235	-0.687473	-0.597222	-1.13686	-1.08124	-0.964625	IV - Nuclear periphery	"Q9QYB5;Q9QYB5-2"	ADD3
-0.588683	-0.422446	-0.46349	0.80913	0.872135	0.854922	1.19782	1.19247	1.01048		-0.676959	-1.29016				-1.25974		-1.23548	IV - Nuclear periphery	G3UZ78	ADGB
