FP_n1	FP_n2	FP_n3	FP_f1	FP_f2	FP_f3	FP_p1	FP_p2	FP_p3	Ch_n1	Ch_n2	Ch_n3	Ch_f1	Ch_f2	Ch_f3	Ch_p1	Ch_p2	Ch_p3	Ch_FDR005	Ch_FDR001	FP_FDR005	FP_FDR001	Protein_Group	Proteins
0.018	0.021	-0.003	0.155	0.184	0.165	-0.225	-0.202	-0.113	-0.295	-0.297	-0.179	0.767	0.633	0.546	-0.423	-0.589	-0.164	significant	significant	not significant	not significant	Q99LE6	ABCF2
0.249	0.241	0.192	0.127	-0.04	0.01	-0.303	-0.213	-0.264	0.03	-1.05	-0.655	0.911	0.626	0.458	-0.236	-0.256	0.171	significant	not significant	not significant	not significant	Q8K268	ABCF3
-1.034	-1.669	-0.918	1.988	1.568	2.238	-0.858	-0.726	-0.588	-0.764	-0.753	-0.95	2.047	2.075	2.726	-1.979	-1.155	-1.246	significant	significant	significant	significant	Q64343	ABCG1
0.029	-0.045	0.015	-0.247	-0.58	-0.406	0.459	0.347	0.427	0.173	0.029	-0.039	-0.287	-0.34	-0.865	0.951	0.494	-0.117	significant	not significant	significant	not significant	Q7TMS5	ABCG2
-0.613	-0.085	-0.211	0.304	0.022	0.015	0.165	0.292	0.11	-0.165	0.708	0.883	0.033	-0.34	-0.607	-0.23	-0.419	0.137	not significant	not significant	not significant	not significant	Q99LR1	ABHD12
0.796	0.542	0.363	-0.233	-0.205	-0.231	-0.299	-0.271	-0.462	0.326	-0.087	0.023	0.452	-0.367	0.332	-0.54	-0.301	0.163	not significant	not significant	significant	significant	"Q8CBW3;Q8CBW3-2;Q8CBW3-3;Q8CBW3-4;Q8CBW3-5"	ABI1
-1.104	-1.133	-1.02	0.019	0.263	0.411	0.94	0.878	0.745	-1.134	-1.176	-0.775	0.48	0.652	0.312	0.964	0.064	0.612	significant	significant	significant	significant	P62484	ABI2
0.175	-0.121	-0.063	0.247	-1.015	0.325	0.031	0.731	-0.31	0.504	0.714	-0.209	-0.061	-0.1	0.001	-0.521	-0.341	0.014	not significant	not significant	not significant	not significant	"P00520;P00520-2;P00520-3;P00520-4"	ABL1
-0.124	-0.053	-0.189	-0.118	-0.047	-0.033	0.139	0.373	0.052	-0.498	-0.642	-0.512	0.461	0.606	0.18	0.131	0.221	0.054	significant	not significant	not significant	not significant	Q4JIM5	ABL2
0.105	0.15	-0.142	-1.418	-0.161	0.548	0.557	0.116	0.245	-0.057	-0.339	0.096	0.198	0.453	-0.133	0.454	-0.332	-0.341	not significant	not significant	not significant	not significant	"Q8K4G5;Q8K4G5-2;Q8K4G5-3;Q8K4G5-4"	ABLIM1
0.873	1.069	0.995	-0.072	-0.254	-0.125	-0.769	-0.832	-0.886	1.324	-1.533	1.411	1.075	0.147	0.614	-0.733	-1.369	-0.936	significant	not significant	significant	significant	A0A571BG95	ABR (isof.)
-0.017	0.031	0.045	-0.229	-0.274	-0.21	0.208	0.224	0.222	-0.636	-0.376	0.409	0.331	0.868	-0.263	-0.444	0.302	-0.191	not significant	not significant	not significant	not significant	"Q5SSL4;Q5SSL4-2;Q5SSL4-4"	ABR
0.091	0.307	0.276	-0.308	-0.167	0.198	-0.139	-0.044	-0.214	-0.302	-0.185	-0.05	0.683	0.072	0.044	-0.396	-0.302	0.436	not significant	not significant	not significant	not significant	Q8BPZ8	ABRAXAS1
0.464	0.323	0.344	-0.186	-0.055	-0.102	-0.219	-0.392	-0.176	-0.161	-0.522	0.363	0.513	0.404	-0.181	-0.022	-0.674	0.28	not significant	not significant	significant	not significant	Q3TCJ1	ABRAXAS2
-0.162	-0.078	-0.075	0.129	-0.029	0.067	0.079	0.07	0	-0.465	-0.263	-0.348	0.17	0.206	0.098	0.292	0.082	0.227	not significant	not significant	not significant	not significant	Q9QYL7	ABT1
0.513	0.429	0.436	0.427	0.336	0.185	-0.716	-0.77	-0.841	0.696	0.584	0.65	0.748	0.945	0.676	-1.26	-2.002	-1.038	significant	significant	significant	significant	Q921H8	ACAA1A
0.095	0.073	-0.036	-0.137	-0.135	-0.207	0.15	0.086	0.111	0.324	0.149	0.389	-0.003	0.441	-0.547	-0.343	-0.409	0	not significant	not significant	not significant	not significant	Q8BWT1	ACAA2
-1.079	-0.976	-0.872	0.036	-0.028	0.313	0.973	0.696	0.937	-0.65	-1.137	-0.909	0.727	0.549	0.375	0.285	0.471	0.288	significant	significant	significant	significant	"Q5SWU9;Q5SWU9-2"	ACACA
-0.556	-0.667	-0.341	-0.08	-0.22	0.366	0.196	0.513	0.79	-2.451	-2.606	-2.094	1.681	1.51	1.079	1.51	0.113	1.258	significant	significant	significant	not significant	E9Q4Z2	ACACB
-1.089	-2.783	-0.505	1.202	1.309	1.106	0.194	0.126	0.44	-0.887	0.384	-0.793	0.684	1.058	0.11	-0.488	0.085	-0.154	significant	not significant	significant	significant	Q8K370	ACAD10
-0.464	-0.521	-0.263	0.517	0.473	0.619	0.058	-0.17	-0.249	-0.262	-0.094	-0.172	0.537	0.563	0.437	-0.243	-0.304	-0.463	significant	not significant	significant	significant	Q80XL6	ACAD11
-0.072	-0.004	0.139	0.01	-0.056	-0.265	0.063	0.065	0.12	0.511	0.359	0.154	0.66	0.772	-0.023	-0.774	-1.132	-0.527	significant	significant	not significant	not significant	Q9D7B6	ACAD8
-0.423	-0.403	-0.161	0.303	0.134	0.314	0.093	-0.105	0.248	-0.575	-0.048	0.227	1.082	0.422	0.683	-0.633	-0.555	-0.603	significant	significant	significant	not significant	Q8JZN5	ACAD9
-1.2	-1.101	-1.184	-0.169	-0.052	-0.108	1.286	1.176	1.353	-0.607	-1.005	-0.941	0.629	0.481	-0.194	0.465	0.744	0.428	significant	significant	significant	significant	P51174	ACADL
1.03	0.933	0.996	0.09	0.049	0.051	-1.106	-0.988	-1.054	1.222	1.308	1.355	0.897	0.904	0.387	-2.222	-2.063	-1.787	significant	significant	significant	significant	P45952	ACADM
0.267	0.375	0.422	0.305	0.372	0.2	-0.555	-0.648	-0.738	0.523	0.9	0.822	0.996	0.869	0.226	-1.353	-1.939	-1.045	significant	significant	significant	significant	Q07417	ACADS
0.01	-0.057	0.002	0.39	0.462	0.463	-0.474	-0.482	-0.316	1.455	1.089	0.975	0.42	0.934	-0.047	-1.707	-1.478	-1.641	significant	significant	significant	significant	Q9DBL1	ACADSB
-1.097	-0.949	-0.836	0.232	0.312	0.337	0.66	0.653	0.688	-0.44	-0.548	-3.869	1.655	1.687	0.715	0.104	0.166	0.53	significant	significant	significant	significant	P50544	ACADVL
1.509	1.459	1.683	0.206	-0.059	-2.15	-0.237	-1.947	-0.464	2.39	2.276	2.073	-1.465	1.437	-1.438	-1.915	-1.227	-2.131	significant	significant	significant	significant	Q8K2H4	ACAP1
-0.435	-0.309	-0.387	-0.576	-0.691	-0.391	0.808	1.309	0.672	0.158	0.527	0.128	-0.915	0.824	-0.406	0.038	-0.009	-0.345	not significant	not significant	significant	significant	Q6ZQK5	ACAP2
-0.205	-0.335	-0.336	-0.055	0.048	0.026	0.315	0.27	0.272	-0.168	0.25	0.504	0.438	1.457	-1.977	-0.897	-0.078	0.471	not significant	not significant	significant	not significant	Q8QZT1	ACAT1
-0.448	-0.397	-0.543	-0.253	-0.291	-0.244	0.792	0.75	0.634	-0.95	0.695	-0.007	0.117	0.279	-0.29	-0.189	0.068	0.276	not significant	not significant	significant	significant	Q8CAY6	ACAT2
0.054	0.078	0.104	0.072	0.08	0.06	-0.069	-0.124	-0.255	0.577	-0.148	0.554	0.322	0.082	0.616	-0.733	-0.166	-1.102	significant	not significant	not significant	not significant	Q8BMP6	ACBD3
2.042	1.765	1.301	-1.571	0.044	-2.02	-0.015	-0.733	-0.813	1.837	1.948	1.523	-0.055	0.06	-1.55	-1.203	-1.472	-1.089	significant	significant	significant	significant	"A2AHR2;E9Q289"	ACBD4
0.793	0.871	0.945	-0.213	-0.268	-0.346	-0.636	-0.736	-0.411	0.203	0.454	0.234	0.416	0.338	-0.524	-0.113	-0.453	-0.555	not significant	not significant	significant	significant	"Q5XG73;Q5XG73-2;Q5XG73-3"	ACBD5
0.38	0.36	0.431	-0.362	-0.236	-0.028	0.013	-0.156	-0.401	0.314	0.201	0.307	-0.089	-0.03	-0.216	-0.111	-0.154	-0.221	not significant	not significant	significant	not significant	Q5EE38	ACD
0	0	0	0	0	0	0	0	0	0.256	0.361	0.503	-0.077	0.129	0.093	-0.378	-0.295	-0.592	significant	not significant	not significant	not significant	Q52KR6	ACIN1
0.038	0.005	-0.059	0.111	0.058	0.045	-0.059	-0.029	-0.11	0.024	0.089	0.057	-0.071	0.004	0.005	-0.115	0.104	-0.097	not significant	not significant	not significant	not significant	Q9JIX8-4	ACIN1 (isof.)
-0.078	-0.08	-0.093	-0.167	0.084	-0.447	0.367	0.119	0.295	0.258	0.229	0.318	-0.112	0.485	-0.326	-0.232	-0.482	-0.139	not significant	not significant	not significant	not significant	"Q3TS02;Q3V117"	ACLY (isof.)
-0.316	-0.22	-0.206	-0.148	-0.037	-0.069	0.327	0.342	0.327	0.254	0.306	0.284	0.209	0.175	-0.054	-0.366	-0.419	-0.389	significant	not significant	significant	not significant	Q91V92	ACLY
-0.227	-0.435	-0.351	-0.286	-0.387	-0.177	0.608	0.547	0.709	-0.74	-0.064	-0.213	0.662	0.934	0.665	-0.557	-0.195	-0.491	significant	significant	significant	significant	P28271	ACO1
0.089	0.09	0.044	-0.205	-0.24	-0.27	0.162	0.213	0.116	0.368	0.352	0.555	0.165	-0.128	-0.163	-0.241	-0.335	-0.573	significant	not significant	not significant	not significant	Q99KI0	ACO2
-1.464	-0.241	-1.654	2.59	2.44	2.588	0.14	-2.126	-2.273	-1.209	-1.214	-0.897	2.343	2.175	1.658	-1.195	-0.98	-0.681	significant	significant	significant	significant	O55137	ACOT1
-0.06	-0.211	-0.274	-0.255	-0.166	-0.194	0.448	0.4	0.312	0.296	0.36	0.368	0.287	-0.193	-0.116	0.09	-0.365	-0.727	not significant	not significant	significant	not significant	Q9CQR4	ACOT13
0.084	0.114	0.03	0.079	0.128	0.088	-0.205	-0.204	-0.113	0.907	1.28	1.226	0.798	0.258	-0.476	-2.008	-1.439	-0.545	significant	significant	not significant	not significant	Q91V12	ACOT7
0.342	0.442	0.507	0.281	0.351	0.291	-0.703	-1.028	-0.484	0.274	0.08	-0.319	1.575	1.091	0.534	-0.954	-1.515	-0.767	significant	significant	significant	significant	P58137	ACOT8
1.343	1.316	1.36	-0.532	-0.39	-0.448	-0.877	-0.97	-0.803	1.227	1.169	1.222	0.635	0.389	-0.489	-1.32	-1.103	-1.731	significant	significant	significant	significant	Q9R0X4	ACOT9
0.252	0.33	0.304	-0.226	0.191	-0.481	-0.084	-0.072	-0.214	0.631	0.881	-0.151	0.148	-0.357	-3.697	0.645	2.824	-0.925	significant	not significant	not significant	not significant	Q9D358	ACP1
-0.333	2.408	1.936	-1.223	-1.277	-0.588	-0.08	-0.183	-0.661	1.518	1.841	1.962	-2.61	-1.951	0.407	0.715	-2.488	0.605	significant	significant	significant	significant	Q05117	ACP5
0.383	0.313	0.324	0.235	0.34	0.294	-0.604	-0.709	-0.576	0.177	-1.533	-0.98	0.945	1.246	0.631	0.115	-0.44	-0.16	significant	significant	significant	significant	Q8BP40	ACP6
1.168	1.189	1.197	-0.446	-0.535	-0.537	-0.508	-0.821	-0.707	1.478	1.493	1.408	0.437	0.569	-0.061	-2.756	-2.441	-0.126	significant	significant	significant	significant	P41216	ACSL1
-0.015	0.013	0.168	-0.346	-0.385	-0.408	0.245	0.235	0.493	-0.26	-0.227	-0.172	-0.007	-0.077	-0.351	0.477	0.379	0.238	not significant	not significant	significant	not significant	Q9CZW4	ACSL3
-1.279	-1.175	-1.133	0.841	0.767	0.855	0.362	0.344	0.418	-0.977	-1.145	-1.029	1.216	1.157	0.927	-0.047	-0.055	-0.047	significant	significant	significant	significant	"Q9QUJ7;Q9QUJ7-2"	ACSL4
0.216	-0.053	-0.251	-0.022	-0.571	-0.118	-0.083	0.173	0.708	-1.378	-1.348	-2.7	1.175	1.152	0.853	1.166	1.203	-0.123	significant	significant	not significant	not significant	"Q91WC3;Q91WC3-2"	ACSL6
1.746	1.506	1.529	-0.148	-0.057	-0.226	1.095	-2.702	-2.742	1.237	1.636	1.688	-0.766	-0.984	-0.773	-0.421	-0.607	-1.011	significant	significant	significant	significant	Q99NB1	ACSS1
-0.096	-0.035	-0.019	0.752	0.776	0.606	-0.587	-0.955	-0.442	-0.51	-0.618	-0.364	0.799	0.968	0.468	-0.451	-0.325	0.032	significant	significant	significant	significant	P62737	ACTA2
-0.287	-0.388	-0.24	0.264	0.193	0.282	-0.064	0.182	0.059	-0.298	-0.321	-0.285	0.789	0.726	0.125	-0.228	-0.301	-0.208	significant	not significant	significant	not significant	P60710	ACTB
-0.829	-0.696	-0.566	0.461	0.341	0.446	0.301	0.21	0.332	-4.582	-5.482	-4.797	2.676	2.771	2.546	3.042	2.08	1.746	significant	significant	significant	significant	Q8BFZ3	ACTBL2
-0.081	0.053	0.156	0.037	0.041	0.094	-0.071	-0.109	-0.119	0.102	0.007	0.066	-0.03	-0.037	-0.156	0.072	-0.155	0.13	not significant	not significant	not significant	not significant	Q9Z2N8	ACTL6A
0.172	0.277	0.238	0.453	0.462	0.389	-0.707	-0.651	-0.633	0.337	0.557	0.508	0.491	0.82	0.178	-0.792	-0.87	-1.231	significant	significant	significant	significant	Q7TPR4	ACTN1
0.039	0.082	-0.091	-0.11	0.359	0.168	-0.316	0.045	-0.176	1.724	1.666	1.486	0.087	-0.081	-0.589	-1.047	-1.781	-1.464	significant	significant	not significant	not significant	E9Q2W9	ACTN4
-0.389	-0.321	-0.412	0.589	0.744	0.649	-0.307	-0.267	-0.286	0.587	0.535	0.602	0.378	0.802	0.245	-1.009	-0.978	-1.162	significant	significant	significant	significant	P57780	ACTN4 (isof.)
-0.177	-0.229	-0.208	-0.134	-0.085	-0.096	0.332	0.378	0.219	-0.219	-0.104	-0.376	-0.347	0.387	-0.588	0.522	0.153	0.571	not significant	not significant	significant	not significant	Q9QZB7	ACTR10
-0.455	-0.534	-0.398	0.093	-0.035	0.049	0.348	0.467	0.464	-0.574	-0.49	-0.473	-0.095	0.139	0.018	0.303	0.422	0.749	significant	not significant	significant	significant	P61164	ACTR1A
-0.18	-0.119	0.02	-0.082	-0.032	-0.3	0.217	0.198	0.278	-0.413	-0.486	-0.367	-0.1	0.303	0.213	0.266	0.366	0.218	significant	not significant	not significant	not significant	Q8R5C5	ACTR1B
-0.141	-0.021	-0.015	-0.093	0.001	0.076	0.04	-0.014	0.166	0.465	0.531	0.577	0.306	0.299	-0.158	-0.752	-0.685	-0.582	significant	significant	not significant	not significant	P61161	ACTR2
-0.077	0.059	-0.097	0.192	-0.242	0.235	-0.099	-0.034	0.063	0.638	0.798	0.586	-0.093	-0.174	-0.208	-0.326	-0.627	-0.593	significant	significant	not significant	not significant	Q99JY9	ACTR3
0	0	0	0	0	0	0	0	0	-1.334	-0.112	-0.075	0.678	0.538	0.78	-0.152	-0.427	0.103	significant	not significant	not significant	not significant	A0A0A0MQ89	ACTR5 (isof.)
0.005	-0.102	-0.073	-0.151	0.108	0.028	-0.049	0.195	0.04	-0.053	0.053	0.159	0.35	0.245	0.308	-0.426	-0.541	-0.095	not significant	not significant	not significant	not significant	Q80US4	ACTR5
1.444	1.355	-3.216	0.283	0.12	0.427	-0.118	-0.305	0.01	1.604	0.946	1.132	-0.7	-0.199	-0.229	-0.812	-0.943	-0.798	significant	significant	not significant	not significant	A0A0R4J009	ACTR6 (isof.)
0.165	-0.092	0.014	-0.033	-0.272	0.2	-0.002	0.121	-0.102	0.589	0.413	0.476	0.006	-0.137	-0.347	-0.193	-0.572	-0.234	significant	not significant	not significant	not significant	Q9D864	ACTR6
0.241	0.323	0.42	0.182	0.043	-0.251	-0.386	-0.239	-0.333	0.435	0.308	0.402	0.187	0.007	-0.018	-0.305	-0.648	-0.367	significant	not significant	significant	not significant	Q8R2S9	ACTR8
0.599	0.576	0.454	-0.733	-0.472	-0.922	0.143	0.087	0.268	0.404	0.396	0.471	0.263	0.335	-1.882	0.14	-0.101	-0.027	not significant	not significant	significant	significant	O35598	ADAM10
0	0	0	0	0	0	0	0	0	0.434	0.289	0.424	0.185	-0.05	0.129	0.064	-0.26	-1.215	not significant	not significant	not significant	not significant	Q61824	ADAM12
0.312	-0.51	0.409	0.069	0.424	0.47	-1.02	-0.247	0.093	0.633	0.817	0.825	-0.192	-0.246	-0.449	-0.534	-0.404	-0.45	significant	significant	not significant	not significant	O35674	ADAM19
0.767	0.641	0.728	0.161	0.383	0.355	-0.723	-0.21	-2.102	0.223	0.73	0.448	0.489	0.463	0.181	-0.985	-0.827	-0.721	significant	significant	significant	significant	"Q9R1V7;Q9R1V7-2;Q9R1V7-3;Q9R1V7-4"	ADAM23
0.639	0.277	0.695	-0.414	-0.529	-0.341	0.057	-0.216	-0.169	0.111	0.364	-0.181	-0.283	-0.208	-0.422	0.229	0.38	0.011	not significant	not significant	significant	significant	Q61072	ADAM9
-0.036	0.065	0.008	0.181	0.152	0.039	-0.144	-0.139	-0.125	-0.03	0.061	0.032	0.199	0.004	0.095	-0.17	-0.162	-0.029	not significant	not significant	not significant	not significant	Q99MU3	ADAR
-0.633	0.069	-1.375	-0.297	-0.584	1.253	1.522	0.002	0.044	-2.044	-3.162	-2.315	1.191	1.197	1.568	1.018	1.705	0.842	significant	significant	significant	not significant	Q99MU3-3	ADAR (isof.)
-1.003	-2.26	1.589	0.269	-0.879	0.675	-0.122	0.717	1.013	-0.582	-0.305	-0.262	-0.053	0.036	0.113	0.286	0.423	0.344	significant	not significant	not significant	not significant	"Q91ZS8;Q91ZS8-2;Q91ZS8-3;Q91ZS8-4;Q91ZS8-5;Q91ZS8-6"	ADARB1
-0.079	-0.084	-0.122	0.058	0.018	-0.007	0.039	0.109	0.067	0.024	0.58	0.435	1.096	0.903	-1.082	-1.528	-1.205	0.777	not significant	not significant	not significant	not significant	Q9JHI2	ADAT1
0.262	0.579	0.23	0.532	0.311	-0.029	-0.926	-0.892	-0.065	-0.297	-0.72	-2.827	0.918	1.05	0.315	0.031	0.93	0.599	significant	significant	significant	not significant	Q9D0L4	ADCK1
0.418	0.222	0.198	-0.424	-0.509	-0.491	0.206	0.273	0.108	0.815	0.755	0.778	-0.049	-0.358	-0.589	-0.396	-0.434	-0.522	significant	significant	significant	not significant	"Q9QYC0;Q9QYC0-2"	ADD1
0.106	0.281	0.251	-0.629	-0.538	-0.536	0.315	0.481	0.27	0.848	0.756	0.802	-0.182	-0.39	-0.904	-0.266	-0.295	-0.37	significant	significant	significant	significant	"Q9QYB5;Q9QYB5-2"	ADD3
